x_position,y_position
1896,627
1853,632
1807,636
1761,640
1715,644
1664,643
1613,642
1562,641
1510,640
1457,639
1404,638
1351,637
1298,637
1245,637
1192,637
1139,637
1086,637
1029,638
971,641
951,641
930,643
908,645
885,648
862,651
838,654
815,657
792,660
769,663
746,666
730,668
714,669
698,672
682,677
667,683
653,690
640,699
627,708
614,717
602,726
591,735
580,744
569,753
